"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2024","56.70","56.33","57.11","55.73","75.44M","5.96%"
"05/02/2024","53.51","52.92","53.85","51.20","62.41M","3.70%"
"05/01/2024","51.60","52.15","54.80","51.27","104.04M","-2.15%"
"04/30/2024","52.74","55.30","55.85","52.73","62.62M","-5.73%"
"04/29/2024","55.94","56.08","56.33","54.88","51.18M","1.19%"
"04/26/2024","55.28","54.03","55.87","53.77","68.00M","4.60%"
"04/25/2024","52.85","50.90","53.19","50.48","86.41M","-1.60%"
"04/24/2024","53.71","54.32","54.91","52.83","72.16M","0.98%"
"04/23/2024","53.19","51.62","53.62","51.49","75.92M","4.46%"
"04/22/2024","50.92","50.38","51.77","49.17","71.30M","2.91%"
"04/19/2024","49.48","52.28","52.47","48.85","125.40M","-6.20%"
"04/18/2024","52.75","53.89","54.56","52.51","86.39M","-1.79%"
"04/17/2024","53.71","56.54","56.55","53.35","85.51M","-3.71%"
"04/16/2024","55.78","55.69","56.81","55.24","81.88M","0.02%"
"04/15/2024","55.77","60.20","60.23","55.44","101.83M","-5.02%"
"04/12/2024","58.72","59.88","60.35","58.12","86.29M","-4.83%"
"04/11/2024","61.70","59.61","62.06","58.68","73.47M","4.70%"
"04/10/2024","58.93","58.36","59.28","58.06","101.04M","-2.63%"
"04/09/2024","60.52","60.81","60.94","58.58","60.16M","1.04%"
"04/08/2024","59.90","60.21","60.66","59.31","44.86M","0.07%"
"04/05/2024","59.86","58.40","60.93","58.06","77.45M","3.53%"
"04/04/2024","57.82","62.35","62.61","57.74","83.76M","-4.71%"
"04/03/2024","60.68","59.40","61.46","59.38","55.84M","0.66%"
"04/02/2024","60.28","59.87","60.42","59.00","54.84M","-2.68%"
"04/01/2024","61.94","61.92","62.99","61.12","56.15M","0.62%"
"03/28/2024","61.56","61.89","62.23","61.40","43.51M","-0.63%"
"03/27/2024","61.95","62.57","62.63","60.71","55.69M","0.88%"
"03/26/2024","61.41","62.61","63.01","61.28","46.99M","-0.94%"
"03/25/2024","61.99","61.48","62.63","61.06","43.33M","-1.02%"
"03/22/2024","62.63","62.27","63.17","61.90","45.79M","0.21%"
"03/21/2024","62.50","63.75","63.95","62.42","63.27M","1.30%"
"03/20/2024","61.70","60.07","61.83","59.36","78.28M","3.18%"
"03/19/2024","59.80","58.54","59.98","57.68","59.41M","0.69%"
"03/18/2024","59.39","59.88","60.80","59.29","64.60M","2.82%"
"03/15/2024","57.76","58.69","58.92","57.28","70.44M","-3.65%"
"03/14/2024","59.95","60.87","61.10","58.79","81.24M","-0.81%"
"03/13/2024","60.44","61.44","61.46","59.97","71.89M","-2.33%"
"03/12/2024","61.88","60.29","62.04","58.96","85.28M","4.25%"
"03/11/2024","59.36","59.41","59.88","58.56","73.39M","-1.17%"
"03/08/2024","60.06","62.92","64.13","59.77","148.23M","-4.38%"
"03/07/2024","62.81","61.55","63.31","60.91","71.19M","4.46%"
"03/06/2024","60.13","60.74","61.43","59.35","90.84M","1.85%"
"03/05/2024","59.04","61.10","61.10","58.02","96.60M","-5.35%"
"03/04/2024","62.38","63.09","63.28","62.31","60.21M","-1.19%"
"03/01/2024","63.13","60.75","63.51","60.73","70.48M","4.59%"
"02/29/2024","60.36","60.08","60.85","58.78","68.48M","2.41%"
"02/28/2024","58.94","59.03","59.53","58.55","61.75M","-1.62%"
"02/27/2024","59.91","59.96","60.09","58.87","54.70M","0.62%"
"02/26/2024","59.54","59.94","60.37","59.43","54.94M","-0.13%"
"02/23/2024","59.62","60.83","61.22","59.22","70.20M","-0.91%"
"02/22/2024","60.17","58.78","60.60","58.49","89.64M","8.65%"
"02/21/2024","55.38","54.97","55.42","53.82","77.29M","-1.25%"
"02/20/2024","56.08","56.58","57.18","54.55","81.66M","-2.32%"
"02/16/2024","57.41","59.16","59.21","57.11","75.97M","-2.74%"
"02/15/2024","59.03","58.81","59.21","57.73","65.03M","0.84%"
"02/14/2024","58.54","57.80","58.75","56.86","78.08M","3.17%"
"02/13/2024","56.74","56.24","57.87","55.44","94.47M","-4.73%"
